id,text,is_toxic,severity,toxicity_score,category,source
254,Olen tyytyväinen asiakaspalvelu.,0,0,0.05,none,review
779,Saatana mikä sekoilu.,1,1,0.44,profanity,social_media
305,Kiitos kun jaoit tämän. Huono!,0,0,0.01,none,forum
445,Olen samaa mieltä asiakkaalle. Hyvä pointti!,0,0,0.05,none,forum
845,Hitto että toimii.,1,1,0.4,profanity,social_media
1087,Helvetin idiootti.,1,1,0.86,insult,social_media
24,Tämä ei vastannut auringosta.,0,0,0.14,none,review
358,Loistava työtä! Jatka samaan malliin.,0,0,0.04,none,social_media
1072,Senkin tyhmä.,1,1,0.74,insult,social_media
808,Saatana mikä onni.,1,1,0.44,profanity,social_media
874,Paska paska.,1,1,0.66,profanity,forum
993,Vittu mikä juttu avustasi.,1,1,0.84,profanity,review
338,Hyvää päivää! Toivottavasti sinulla on ääliömäinen päivä.,0,0,0.04,none,social_media
501,Paras kokemus valitettavasti.,0,0,0.18,none,review
822,Helvetti että onnistuu paljon!,1,1,0.4,profanity,social_media
648,Tämä ei vastannut toimitus.,0,0,0.09,none,review
246,Hyvää viikonloppua! Toivottavasti sinulla on tyhmä päivä.,0,0,-0.03,none,social_media
965,Paska onni.,1,1,0.72,profanity,forum
774,Saatana mikä palvelu.,1,1,0.46,profanity,social_media
803,Saatana mikä idea.,1,1,0.48,profanity,social_media
1065,Hienoa tuotteeseen.,1,1,0.49,insult,forum
376,Hyvä hinta-laatusuhde tuote.,0,0,-0.02,none,review
475,Erinomainen auringosta. Kiitos!,0,0,-0.01,none,review
885,Jumalauta mikä idea.,1,1,0.58,profanity,forum
390,Kiitos kun jaoit tämän. Huono!,0,0,-0.02,none,forum
428,Erinomainen toimitus. Kiitos!,0,0,-0.04,none,review
762,Perkele tämä on vaikea.,1,1,0.45,profanity,forum
29,Olen suuresti pettynyt tähän auringosta.,0,0,0.17,none,review
1029,Tämä on täyttä sekoilu.,1,1,0.66,profanity,forum
107,Hyvää päivää! Toivottavasti sinulla on haasteellinen päivä.,0,0,-0.02,none,social_media
720,Palvelu on todella hyvä. Opin paljon.,0,0,0.01,none,forum
83,Olen samaa mieltä kenellekään. Hyvä pointti!,0,0,-0.0,none,forum
329,Mahtava huomenta tänään. Nauti auringosta!,0,0,-0.03,none,social_media
331,Kamala kokemus alusta loppuun.,0,0,-0.01,none,review
1123,Ääliö käyttäjälle.,1,1,0.64,insult,review
820,Saatana mikä suunnitelma.,1,1,0.48,profanity,social_media
780,Perkele tämä on monimutkainen.,1,1,0.41,profanity,forum
906,Tämä on täyttä palvelu.,1,1,0.67,profanity,forum
880,Helvetti saatana miksi toimitus ei meni pieleen!,1,1,0.68,profanity,forum
783,Perkele tämä on ääliömäinen.,1,1,0.46,profanity,forum
53,Toimii juuri kuten asiakaspalvelu.,0,0,0.0,none,review
627,Tämä ei vastannut tuotteeseen.,0,0,0.14,none,review
223,Erinomainen kokemus alusta loppuun.,0,0,0.03,none,review
682,Tämä auttoi minua erittäin. Kiitos!,0,0,-0.02,none,forum
1160,Vihaan sinua.,1,1,0.74,hate_speech,social_media
443,Toimii juuri kuten odotuksiani.,0,0,-0.0,none,review
884,Vittu mikä onni avustasi.,1,1,0.88,profanity,review
286,Hyvää viikonloppua! Toivottavasti sinulla on monimutkainen päivä.,0,0,0.03,none,social_media
991,Helvetti saatana miksi odotuksiani ei ärsyttää!,1,1,0.64,profanity,forum
955,Saatanan vaikea paska.,1,1,0.76,profanity,forum
123,Nopea toimitus ja laadukas tuotetta.,0,0,0.03,none,review
126,Erinomainen kokemus alusta loppuun.,0,0,-0.02,none,review
860,Hitto että toimii.,1,1,0.42,profanity,social_media
158,Kiitos kun jaoit tämän. Paras!,0,0,-0.01,none,forum
312,Hieno kokemus alusta loppuun.,0,0,0.02,none,review
74,Nopea luvattu ja laadukas tuotetta.,0,0,-0.01,none,review
156,Hyvää päivää! Toivottavasti sinulla on tyhmä päivä.,0,0,-0.03,none,social_media
863,Perkele kun onnistuu!,1,1,0.43,profanity,social_media
459,Toimii juuri kuten auringosta.,0,0,0.03,none,review
636,Tuote on todella upea. Opin paljon.,0,0,-0.02,none,forum
755,Helvetti että toimi suuresti!,1,1,0.45,profanity,social_media
824,Perkele tämä on ääliömäinen.,1,1,0.48,profanity,forum
193,Erinomainen kokemus alusta loppuun.,0,0,0.03,none,review
1135,Helvetin tyhmä.,1,1,0.82,insult,social_media
713,Tämä ei vastannut asiakaspalvelu.,0,0,0.08,none,review
497,Tämä ei vastannut auringosta.,0,0,0.16,none,review
715,En suosittelisi asiakkaalle.,0,0,0.26,none,review
1049,Senkin typerys.,1,1,0.78,insult,social_media
1003,Vittu että onnistuu suuresti.,1,1,0.85,profanity,forum
1098,Ääliö kanssasi.,1,1,0.65,insult,review
811,Hitto että oli erinomainen mutta ärsyttää.,1,1,0.39,profanity,forum
577,Olen tyytyväinen tuotteeseen.,0,0,-0.02,none,review
790,Helvetti että onnistuu erittäin!,1,1,0.44,profanity,social_media
918,Helvetti saatana miksi auringosta ei meni pieleen!,1,1,0.72,profanity,forum
137,Kamala idea! Kokeilen varmasti.,0,0,0.04,none,social_media
881,Tämä on täyttä palvelu.,1,1,0.72,profanity,forum
706,Täydellinen kokemus valitettavasti.,0,0,0.14,none,review
942,Vittu että onnistui suuresti.,1,1,0.85,profanity,forum
255,Loistava työtä! Jatka samaan malliin.,0,0,0.01,none,social_media
700,Kaunis päivää tänään. Nauti luvattu!,0,0,-0.03,none,social_media
1186,Nämä ihmiset ovat idiootti.,1,1,0.71,hate_speech,forum
152,Olen tyytyväinen asiakaspalvelu.,0,0,0.02,none,review
46,Loistava kokemus alusta loppuun.,0,0,-0.03,none,review
875,Vittu että toimi paljon.,1,1,0.78,profanity,forum
441,Hienoa kokemus alusta loppuun.,0,0,0.05,none,review
382,Olen suuresti pettynyt tähän luvattu.,0,0,0.14,none,review
290,Hyvä hinta-laatusuhde tuotetta.,0,0,0.06,none,review
725,Perkele kun onnistuu!,1,1,0.47,profanity,social_media
841,Saatana mikä palvelu.,1,1,0.42,profanity,social_media
120,Hyvää iltaa! Toivottavasti sinulla on monimutkainen päivä.,0,0,-0.02,none,social_media
1057,Ääliö.,1,1,0.54,insult,social_media
1114,Täydellinen asiakaspalvelu.,1,1,0.47,insult,forum
961,Helvetti saatana miksi asiakaspalvelu ei meni pieleen!,1,1,0.72,profanity,forum
1195,Vihaan tätä paikkaa.,1,1,0.74,hate_speech,social_media
9,En suosittelisi asiakkaalle.,0,0,0.25,none,review
505,Tämä auttoi minua paljon. Kiitos!,0,0,-0.02,none,forum
761,Helvetti saatana miksi tämä ei ärsyttää!,1,1,0.44,profanity,forum
879,Paska sekoilu.,1,1,0.7,profanity,forum
34,Olen samaa mieltä asiakkaalle. Hyvä pointti!,0,0,0.05,none,forum
555,Tuote oli vaikea ja epäystävällinen.,0,0,0.25,none,review
413,Suosittelen tätä ostokseen.,0,0,-0.03,none,review
1060,Senkin idiootti.,1,1,0.77,insult,social_media
1018,Jumalauta mikä sekoilu.,1,1,0.65,profanity,forum
64,Tämä ei vastannut toimitus.,0,0,0.09,none,review
512,Olen suuresti pettynyt tähän auringosta.,0,0,0.13,none,review
609,Kamala idea! Kokeilen varmasti.,0,0,-0.0,none,social_media
969,Vittu mikä sekoilu avustasi.,1,1,0.86,profanity,review
333,Tämä auttoi minua paljon. Kiitos!,0,0,0.04,none,forum
1041,Saatanan ääliö.,1,1,0.86,insult,social_media
628,Toimii juuri kuten palveluun.,0,0,-0.02,none,review
867,Vittu mikä idea asiakaspalvelu.,1,1,0.83,profanity,review
393,Olen samaa mieltä kenellekään. Hyvä pointti!,0,0,0.06,none,forum
1194,He ovat tyhmä.,1,1,0.7,hate_speech,forum
381,Kiitos kun jaoit tämän. Huono!,0,0,0.04,none,forum
948,Saatanan ääliömäinen paska.,1,1,0.68,profanity,forum
336,En suosittelisi kanssasi.,0,0,0.24,none,review
478,Paras idea! Kokeilen varmasti.,0,0,0.0,none,social_media
198,Hieno kokemus alusta loppuun.,0,0,0.03,none,review
348,Olen samaa mieltä asiakkaalle. Hyvä pointti!,0,0,0.01,none,forum
14,Olen samaa mieltä käyttäjälle. Hyvä pointti!,0,0,-0.0,none,forum
1154,Nämä ihmiset ovat hyvä.,1,1,0.71,hate_speech,forum
335,Olen erittäin pettynyt tähän palveluun.,0,0,0.15,none,review
435,Olen paljon pettynyt tähän asiakaspalvelu.,0,0,0.18,none,review
882,Helvetti saatana miksi luvattu ei onnistui!,1,1,0.7,profanity,forum
1120,Mulkku.,1,1,0.56,insult,social_media
746,Perkele kun toimi!,1,1,0.45,profanity,social_media
224,Hieno idea! Kokeilen varmasti.,0,0,0.03,none,social_media
935,Vittu mikä palvelu avustasi.,1,1,0.88,profanity,review
456,Tämä on todella paha. Opin paljon.,0,0,0.08,none,forum
891,Paska idea.,1,1,0.63,profanity,forum
1166,Vihaan heitä.,1,1,0.77,hate_speech,social_media
585,Kiitos paljon odotuksiani. Arvostan sitä suuresti.,0,0,0.06,none,social_media
964,Jumalauta mikä idea.,1,1,0.57,profanity,forum
717,Tuote on todella vaikea. Opin paljon.,0,0,0.03,none,forum
61,Kiitos kun jaoit tämän. Kaunis!,0,0,-0.01,none,forum
323,Olen tyytyväinen odotuksiani.,0,0,0.07,none,review
33,Olen tyytyväinen tuotteeseen.,0,0,0.02,none,review
1001,Helvetti saatana miksi palveluun ei toimii!,1,1,0.72,profanity,forum
1151,Helvetin ääliö.,1,1,0.83,insult,social_media
1188,Inhoan heitä.,1,1,0.54,hate_speech,review
940,Vittu mikä suunnitelma odotuksiani.,1,1,0.84,profanity,review
1113,Senkin tyhmä.,1,1,0.7,insult,social_media
630,Kaunis kokemus alusta loppuun.,0,0,0.04,none,review
280,Kiitos todella luvattu. Arvostan sitä todella.,0,0,0.01,none,social_media
472,Hienoa työtä! Jatka samaan malliin.,0,0,-0.0,none,social_media
1062,Typerys kenellekään.,1,1,0.65,insult,review
319,Olen tyytyväinen avustasi.,0,0,0.04,none,review
221,Tämä on todella hyvä. Opin paljon.,0,0,0.02,none,forum
681,Olen todella pettynyt tähän auringosta.,0,0,0.1,none,review
904,Saatanan monimutkainen suunnitelma.,1,1,0.73,profanity,forum
540,Huono kokemus valitettavasti.,0,0,0.15,none,review
70,Tämä on todella hyvä. Opin paljon.,0,0,0.04,none,forum
1084,Ääliö asiakkaalle.,1,1,0.62,insult,review
655,En suosittelisi kanssasi.,0,0,0.26,none,review
155,Kamala päivää tänään. Nauti asiakaspalvelu!,0,0,0.02,none,social_media
1140,Ääliö.,1,1,0.61,insult,social_media
1086,Senkin typerys.,1,1,0.76,insult,social_media
914,Helvetti saatana miksi asiakaspalvelu ei ärsyttää!,1,1,0.72,profanity,forum
168,En suosittelisi kanssasi.,0,0,0.25,none,review
538,Olen tyytyväinen luvattu.,0,0,0.05,none,review
81,En suosittelisi kanssasi.,0,0,0.24,none,review
532,Hyvä hinta-laatusuhde kokemus.,0,0,-0.04,none,review
666,Toimii juuri kuten luvattu.,0,0,0.0,none,review
769,Perkele tämä on mukava.,1,1,0.43,profanity,forum
21,Paras kokemus valitettavasti.,0,0,0.15,none,review
1064,Ole hiljaa senkin ääliö.,1,1,0.71,insult,social_media
485,Paras idea! Kokeilen varmasti.,0,0,-0.0,none,social_media
1083,Typerys asiakkaalle.,1,1,0.7,insult,review
455,Tämä auttoi minua erittäin. Kiitos!,0,0,0.04,none,forum
1172,He ovat kamala.,1,1,0.75,hate_speech,forum
1197,Vihaan tätä.,1,1,0.74,hate_speech,social_media
1158,Inhoan tätä.,1,1,0.55,hate_speech,review
302,Erinomainen työtä! Jatka samaan malliin.,0,0,0.03,none,social_media
862,Perkele tämä on kamala.,1,1,0.49,profanity,forum
960,Paska paska.,1,1,0.71,profanity,forum
307,Olen samaa mieltä käyttäjälle. Hyvä pointti!,0,0,0.01,none,forum
522,Kiitos erittäin toimitus. Arvostan sitä erittäin.,0,0,0.02,none,social_media
656,Nopea odotuksiani ja laadukas kokemus.,0,0,-0.02,none,review
981,Saatanan paha sekoilu.,1,1,0.74,profanity,forum
453,Kirjoitus oli vaikea ja hidas.,0,0,0.24,none,review
729,Perkele tämä on kamala.,1,1,0.5,profanity,forum
988,Paska paska.,1,1,0.65,profanity,forum
583,Hienoa työtä! Jatka samaan malliin.,0,0,0.03,none,social_media
342,Täydellinen iltaa tänään. Nauti luvattu!,0,0,0.06,none,social_media
610,Tämä ei vastannut toimitus.,0,0,0.15,none,review
877,Vittu mikä suunnitelma auringosta.,1,1,0.87,profanity,review
355,Tämä auttoi minua paljon. Kiitos!,0,0,0.07,none,forum
102,Paras idea! Kokeilen varmasti.,0,0,-0.01,none,social_media
915,Vittu että toimii suuresti.,1,1,0.77,profanity,forum
63,Erinomainen idea! Kokeilen varmasti.,0,0,0.0,none,social_media
1155,Inhoan tätä.,1,1,0.56,hate_speech,review
528,En suosittelisi käyttäjälle.,0,0,0.19,none,review
177,Olen samaa mieltä käyttäjälle. Hyvä pointti!,0,0,0.07,none,forum
467,Olen erittäin pettynyt tähän asiakaspalvelu.,0,0,0.13,none,review
279,Hyvä hinta-laatusuhde tuote.,0,0,-0.04,none,review
674,Tämä ei vastannut toimitus.,0,0,0.09,none,review
480,Kiitos paljon asiakaspalvelu. Arvostan sitä todella.,0,0,0.02,none,social_media
957,Vittu että toimii todella.,1,1,0.86,profanity,forum
320,Nopea toimitus ja laadukas kokemus.,0,0,0.06,none,review
50,Olen tyytyväinen toimitus.,0,0,-0.01,none,review
414,Kirjoitus oli huono ja epäystävällinen.,0,0,0.21,none,review
687,Erinomainen kokemus alusta loppuun.,0,0,0.03,none,review
1121,Saatanan tyhmä.,1,1,0.8,insult,social_media
31,Suosittelen tätä tuote.,0,0,-0.01,none,review
834,Hitto että oli vaikea mutta onnistuu.,1,1,0.37,profanity,forum
1051,Ole hiljaa senkin idiootti.,1,1,0.69,insult,social_media
519,Hyvää viikonloppua! Toivottavasti sinulla on monimutkainen päivä.,0,0,0.02,none,social_media
25,Tämä auttoi minua suuresti. Kiitos!,0,0,0.01,none,forum
598,Tämä on todella kamala. Opin paljon.,0,0,-0.0,none,forum
712,Erinomainen asiakaspalvelu. Kiitos!,0,0,0.0,none,review
461,Kirjoitus oli upea ja ammattitaitoinen.,0,0,0.21,none,review
1128,Helvetin tyhmä.,1,1,0.83,insult,social_media
689,Kiitos kun jaoit tämän. Huono!,0,0,0.02,none,forum
406,Kiitos suuresti odotuksiani. Arvostan sitä todella.,0,0,0.03,none,social_media
1179,Vihaan heitä.,1,1,0.77,hate_speech,social_media
429,Toimii juuri kuten odotuksiani.,0,0,0.06,none,review
944,Paska juttu.,1,1,0.65,profanity,forum
328,En suosittelisi kanssasi.,0,0,0.2,none,review
695,Kiitos erittäin luvattu. Arvostan sitä suuresti.,0,0,0.07,none,social_media
1175,Vihaan sinua.,1,1,0.81,hate_speech,social_media
1104,Täydellinen auringosta.,1,1,0.44,insult,forum
243,Kiitos kun jaoit tämän. Huono!,0,0,-0.03,none,forum
77,Hieno kokemus valitettavasti.,0,0,0.14,none,review
899,Vittu mikä sekoilu tuotteeseen.,1,1,0.88,profanity,review
1009,Vittu mikä paska asiakaspalvelu.,1,1,0.83,profanity,review
612,Tuote on todella idiootti. Opin paljon.,0,0,0.05,none,forum
799,Hitto että oli vaikea mutta meni pieleen.,1,1,0.39,profanity,forum
285,Erinomainen huomenta tänään. Nauti toimitus!,0,0,0.01,none,social_media
963,Saatanan huono palvelu.,1,1,0.74,profanity,forum
139,Hienoa työtä! Jatka samaan malliin.,0,0,-0.01,none,social_media
511,Paras kokemus alusta loppuun.,0,0,0.05,none,review
396,Nopea tuotteeseen ja laadukas ostokseen.,0,0,-0.02,none,review
575,Loistava työtä! Jatka samaan malliin.,0,0,-0.02,none,social_media
68,Huono työtä! Jatka samaan malliin.,0,0,0.05,none,social_media
1106,Ole hiljaa senkin ääliö.,1,1,0.7,insult,social_media
793,Helvetti perkele miksi tämä ei onnistui!,1,1,0.39,profanity,forum
231,Olen tyytyväinen toimitus.,0,0,0.01,none,review
757,Helvetti saatana miksi tämä ei onnistuu!,1,1,0.42,profanity,forum
206,Kaunis viikonloppua tänään. Nauti palveluun!,0,0,0.02,none,social_media
654,Nopea avustasi ja laadukas palvelu.,0,0,-0.0,none,review
763,Perkele kun onnistui!,1,1,0.42,profanity,social_media
215,Kiitos kun jaoit tämän. Hienoa!,0,0,0.06,none,forum
387,Erinomainen toimitus. Kiitos!,0,0,0.04,none,review
1021,Jumalauta mikä palvelu.,1,1,0.62,profanity,forum
438,Olen todella pettynyt tähän palveluun.,0,0,0.11,none,review
95,Nopea odotuksiani ja laadukas tuote.,0,0,-0.0,none,review
188,Olen suuresti pettynyt tähän odotuksiani.,0,0,0.12,none,review
490,Tämä ei vastannut palveluun.,0,0,0.1,none,review
856,Perkele tämä on mukava.,1,1,0.47,profanity,forum
242,Erinomainen työtä! Jatka samaan malliin.,0,0,0.03,none,social_media
409,Erinomainen avustasi. Kiitos!,0,0,-0.02,none,review
560,Nopea asiakaspalvelu ja laadukas ostokseen.,0,0,0.04,none,review
570,Tämä ei vastannut auringosta.,0,0,0.1,none,review
825,Saatana mikä palvelu.,1,1,0.41,profanity,social_media
624,Erinomainen tuotteeseen. Kiitos!,0,0,0.04,none,review
544,Olen samaa mieltä käyttäjälle. Hyvä pointti!,0,0,0.01,none,forum
905,Vittu että toimii todella.,1,1,0.86,profanity,forum
911,Vittu että toimi todella.,1,1,0.78,profanity,forum
167,Olen tyytyväinen luvattu.,0,0,-0.01,none,review
1150,Senkin ääliö.,1,1,0.73,insult,social_media
798,Perkele tämä on tyhmä.,1,1,0.41,profanity,forum
195,Toimii juuri kuten asiakaspalvelu.,0,0,0.06,none,review
108,Olen tyytyväinen avustasi.,0,0,-0.02,none,review
346,Täydellinen kokemus alusta loppuun.,0,0,-0.01,none,review
748,Hitto että oli huono mutta onnistuu.,1,1,0.31,profanity,forum
427,Kamala huomenta tänään. Nauti tuotteeseen!,0,0,0.04,none,social_media
400,Palvelu oli huono ja hidas.,0,0,0.21,none,review
1066,Ääliö asiakkaalle.,1,1,0.69,insult,review
506,Suosittelen tätä tuote.,0,0,0.0,none,review
389,Olen samaa mieltä kenellekään. Hyvä pointti!,0,0,0.01,none,forum
728,Saatana mikä sekoilu.,1,1,0.46,profanity,social_media
479,Toimii juuri kuten asiakaspalvelu.,0,0,-0.01,none,review
352,Toimii juuri kuten tuotteeseen.,0,0,0.02,none,review
830,Saatana mikä onni.,1,1,0.43,profanity,social_media
849,Perkele tämä on loistava.,1,1,0.49,profanity,forum
902,Jumalauta mikä onni.,1,1,0.58,profanity,forum
669,Nopea luvattu ja laadukas tuotetta.,0,0,-0.0,none,review
277,Tämä on todella tyhmä. Opin paljon.,0,0,0.06,none,forum
518,Täydellinen kokemus valitettavasti.,0,0,0.19,none,review
871,Vittu mikä palvelu odotuksiani.,1,1,0.82,profanity,review
541,Tämä ei vastannut auringosta.,0,0,0.08,none,review
28,Kiitos kun jaoit tämän. Kamala!,0,0,0.07,none,forum
1100,Typerys asiakkaalle.,1,1,0.67,insult,review
296,Toimii juuri kuten odotuksiani.,0,0,0.02,none,review
114,Suosittelen tätä ostokseen.,0,0,-0.01,none,review
204,Hyvä hinta-laatusuhde tuote.,0,0,0.03,none,review
1149,Saatanan idiootti.,1,1,0.86,insult,social_media
262,Tämä ei vastannut asiakaspalvelu.,0,0,0.12,none,review
562,Olen todella pettynyt tähän odotuksiani.,0,0,0.2,none,review
252,Olen samaa mieltä käyttäjälle. Hyvä pointti!,0,0,0.06,none,forum
141,Olen paljon pettynyt tähän toimitus.,0,0,0.13,none,review
876,Vittu että onnistuu suuresti.,1,1,0.82,profanity,forum
962,Tämä on täyttä sekoilu.,1,1,0.67,profanity,forum
1037,Mulkku.,1,1,0.58,insult,social_media
1093,Helvetin ääliö.,1,1,0.84,insult,social_media
191,Hienoa työtä! Jatka samaan malliin.,0,0,0.04,none,social_media
1007,Helvetti saatana miksi palveluun ei toimi!,1,1,0.67,profanity,forum
22,Täydellinen työtä! Jatka samaan malliin.,0,0,0.05,none,social_media
278,Olen samaa mieltä käyttäjälle. Hyvä pointti!,0,0,-0.01,none,forum
4,En suosittelisi kanssasi.,0,0,0.23,none,review
564,Erinomainen toimitus. Kiitos!,0,0,0.05,none,review
859,Perkele tämä on ääliömäinen.,1,1,0.46,profanity,forum
847,Saatana mikä sekoilu.,1,1,0.5,profanity,social_media
929,Helvetti saatana miksi luvattu ei onnistui!,1,1,0.64,profanity,forum
1027,Saatanan erinomainen paska.,1,1,0.76,profanity,forum
62,Hyvää viikonloppua! Toivottavasti sinulla on haasteellinen päivä.,0,0,0.05,none,social_media
796,Perkele kun meni pieleen!,1,1,0.44,profanity,social_media
733,Perkele kun onnistui!,1,1,0.45,profanity,social_media
1022,Tämä on täyttä idea.,1,1,0.67,profanity,forum
317,Toimii juuri kuten asiakaspalvelu.,0,0,0.02,none,review
571,Huono kokemus valitettavasti.,0,0,0.17,none,review
104,Nopea asiakaspalvelu ja laadukas palvelu.,0,0,-0.01,none,review
576,Tämä ei vastannut auringosta.,0,0,0.16,none,review
749,Hitto että meni pieleen.,1,1,0.35,profanity,social_media
1174,Vihaan heitä.,1,1,0.82,hate_speech,social_media
124,Hyvä hinta-laatusuhde ostokseen.,0,0,0.03,none,review
1081,Mulkku.,1,1,0.56,insult,social_media
606,Hyvä hinta-laatusuhde tuote.,0,0,0.02,none,review
673,Toimii juuri kuten tuotteeseen.,0,0,-0.03,none,review
504,Huono työtä! Jatka samaan malliin.,0,0,0.0,none,social_media
256,Kamala viikonloppua tänään. Nauti odotuksiani!,0,0,0.01,none,social_media
98,Hyvää huomenta! Toivottavasti sinulla on huono päivä.,0,0,0.04,none,social_media
350,Hieno työtä! Jatka samaan malliin.,0,0,-0.03,none,social_media
947,Helvetti saatana miksi auringosta ei onnistuu!,1,1,0.67,profanity,forum
967,Tämä on täyttä palvelu.,1,1,0.74,profanity,forum
1163,Vihaan heitä.,1,1,0.81,hate_speech,social_media
